"","Airport","Airline","Age","Nationality","Destination","DepartureTime","Airfare","ModeTransport","Province"
"1","ICN","Korean Air",49,"Korea","Southeast Asia","12pm - 6pm",80,"Private Taxi"," Kyungki-do"
"2","ICN","Korean Air",49,"Korea","Japan","6am - 12pm",41,"Private Taxi"," Kyungki-do"
"3","ICN","Korean Air",25,"Korea","China","6am - 12pm",49.8317857142857,"Public Bus"," Kyungki-do"
"4","ICN","Korean Air",29,"Korea","Japan","12pm - 6pm",40,"Private Car"," Kyungki-do"
"5","ICN","Korean Air",34,"Korea","China","12pm - 6pm",40,"Private Taxi"," Kyungki-do"
"6","ICN","Korean Air",43,"Korea","China","12pm - 6pm",34,"Private Taxi"," Kyungki-do"
"7","ICN","Korean Air",43,"Korea","China","12pm - 6pm",34,"Private Taxi"," Kyungki-do"
"8","ICN","Korean Air",52,"Korea","Japan","6am - 12pm",56,"Private Taxi"," Kyungki-do"
"9","ICN","Korean LCC",24,"Korea","Southeast Asia","6pm - 9pm",34,"Private Taxi"," Kyungki-do"
"10","ICN","Korean Air",29,"Korea","Japan","12pm - 6pm",54,"Public Bus"," Kyungki-do"
"11","ICN","Foreign Airlines",45,"Korea","Other","12pm - 6pm",80,"Private Taxi"," Kyungki-do"
"12","ICN","Korean Air",24,"Other","China","6pm - 9pm",37,"Subway"," Jeju"
"13","ICN","Korean LCC",27,"Korea","Southeast Asia","12pm - 6pm",40,"Subway"," Seoul"
"14","ICN","Asiana Airlines",62,"Korea","Japan","6pm - 9pm",27.1222222222222,"Subway"," Kyungki-do"
"15","ICN","Korean LCC",31,"Korea","Southeast Asia","12pm - 6pm",40,"Private Taxi"," Kyungki-do"
"16","ICN","Korean LCC",28,"Korea","Southeast Asia","12pm - 6pm",29,"Private Taxi"," Kyungki-do"
"17","ICN","Korean LCC",29,"Korea","Southeast Asia","6pm - 9pm",38,"Public Bus"," Kyungki-do"
"18","ICN","Korean LCC",40,"Korea","Southeast Asia","9pm - 6am",70,"Private Car"," Seoul"
"19","ICN","Korean LCC",29,"Korea","Southeast Asia","6pm - 9pm",38,"Private Car"," Kyungki-do"
"20","ICN","Korean LCC",69,"Korea","Southeast Asia","9pm - 6am",70,"Private Car"," Seoul"
"21","ICN","Korean LCC",29,"Southeast Asia","Southeast Asia","6pm - 9pm",44.6521739130435,"Subway"," Seoul"
"22","ICN","Korean LCC",28,"Korea","Southeast Asia","9pm - 6am",44.6521739130435,"Subway"," Seoul"
"23","ICN","Korean LCC",35,"Korea","Southeast Asia","6pm - 9pm",48,"Private Car"," Seoul"
"24","ICN","Foreign Airlines",30,"Korea","Southeast Asia","12pm - 6pm",53,"Private Taxi"," Kyungki-do"
"25","ICN","Foreign Airlines",22,"Southeast Asia","Other","9pm - 6am",39,"Public Bus"," Kyungki-do"
"26","ICN","Korean Air",55,"Korea","China","12pm - 6pm",28,"Private Taxi"," Kyungki-do"
"27","ICN","Korean Air",20,"Korea","China","6pm - 9pm",49.8317857142857,"Private Taxi"," Kyungki-do"
"28","ICN","Korean LCC",33,"Korea","Southeast Asia","6pm - 9pm",44.6521739130435,"Private Taxi"," Kyungsang-do"
"29","ICN","Foreign Airlines",31,"Korea","Other","6am - 12pm",43,"Private Taxi"," Seoul"
"30","ICN","Korean LCC",33,"Korea","Southeast Asia","6pm - 9pm",48,"Private Car"," Seoul"
"31","ICN","Korean Air",46,"Korea","Southeast Asia","6pm - 9pm",45,"Private Taxi"," Kyungki-do"
"32","ICN","Korean Air",24,"Korea","Other","12pm - 6pm",140,"Public Train"," Kyungsang-do"
"33","ICN","Korean Air",22,"Korea","Other","6pm - 9pm",110,"Public Train"," Jeonra-do"
"34","ICN","Korean LCC",32,"Korea","Southeast Asia","6pm - 9pm",40,"Private Taxi"," Kyungsang-do"
"35","ICN","Korean Air",34,"Southeast Asia","Southeast Asia","6pm - 9pm",70,"Private Car"," Seoul"
"36","ICN","Korean Air",40,"Korea","Southeast Asia","12pm - 6pm",80,"Public Bus"," Seoul"
"37","ICN","Foreign Airlines",22,"Korea","Other","6pm - 9pm",108,"Public Bus"," Seoul"
"38","ICN","Korean Air",36,"Korea","Other","12pm - 6pm",100,"Public Bus"," Seoul"
"39","ICN","Asiana Airlines",22,"Korea","Other","9pm - 6am",100,"Private Taxi"," Seoul"
"40","ICN","Foreign Airlines",22,"Korea","Other","6pm - 9pm",108,"Public Bus"," Seoul"
"41","ICN","Korean Air",44,"Korea","Southeast Asia","6pm - 9pm",59,"Private Car"," Seoul"
"42","ICN","Korean Air",31,"Korea","Southeast Asia","6am - 12pm",40,"Private Taxi"," Kyungki-do"
"43","ICN","Korean LCC",28,"Korea","Southeast Asia","6pm - 9pm",30,"Private Taxi"," Kyungki-do"
"44","ICN","Korean Air",32,"Korea","China","12pm - 6pm",48,"Private Taxi"," Kyungki-do"
"45","ICN","Korean Air",29,"Korea","Japan","12pm - 6pm",54,"Private Taxi"," Kyungki-do"
"46","ICN","Korean Air",35,"Korea","Southeast Asia","6pm - 9pm",60,"Private Taxi"," Kyungki-do"
"47","ICN","Asiana Airlines",45,"China","China","12pm - 6pm",52,"Private Taxi"," Jeju"
"48","ICN","Korean LCC",28,"Korea","Southeast Asia","6pm - 9pm",45,"Private Taxi"," Kyungki-do"
"49","ICN","Korean LCC",53,"Korea","Southeast Asia","6pm - 9pm",45,"Private Taxi"," Kyungki-do"
"50","ICN","Korean LCC",57,"Korea","Southeast Asia","6pm - 9pm",50,"Public Bus"," Seoul"
"51","ICN","Korean LCC",43,"Southeast Asia","Southeast Asia","6pm - 9pm",44.6521739130435,"Subway"," Seoul"
"52","ICN","Korean LCC",21,"Korea","Southeast Asia","6pm - 9pm",44.6521739130435,"Subway"," Seoul"
"53","ICN","Asiana Airlines",67,"Korea","China","6pm - 9pm",26.4277777777778,"Public Bus"," Seoul"
"54","ICN","Asiana Airlines",66,"Korea","China","6pm - 9pm",78,"Private Car"," Incheon"
"55","ICN","Korean LCC",29,"Korea","Japan","12pm - 6pm",17,"Public Bus"," Kyungki-do"
"56","ICN","Korean Air",30,"Korea","Southeast Asia","12pm - 6pm",64,"Public Train"," Kyungsang-do"
"57","ICN","Asiana Airlines",44,"China","China","12pm - 6pm",31,"Private Car"," Jeju"
"58","ICN","Korean LCC",36,"Korea","Southeast Asia","12pm - 6pm",44.6521739130435,"Public Train"," Chungcheong-do"
"59","ICN","Asiana Airlines",53,"Other","Southeast Asia","6pm - 9pm",75,"Public Train"," Jeju"
"60","ICN","Foreign Airlines",47,"Korea","Japan","12pm - 6pm",20,"Private Taxi"," Seoul"
"61","ICN","Korean Air",27,"Korea","Japan","6pm - 9pm",67,"Public Train"," Kyungsang-do"
"62","ICN","Foreign Airlines",22,"Other","Japan","12pm - 6pm",19,"Subway"," Seoul"
"63","ICN","Korean LCC",28,"Korea","Southeast Asia","6pm - 9pm",38,"Public Bus"," Kyungki-do"
"64","ICN","Foreign Airlines",29,"China","China","6pm - 9pm",30,"Subway"," Seoul"
"65","ICN","Korean Air",47,"Korea","Southeast Asia","6pm - 9pm",61.3809523809524,"Subway"," Kyungki-do"
"66","ICN","Korean Air",38,"Korea","Japan","12pm - 6pm",48.3433333333333,"Private Taxi"," Seoul"
"67","ICN","Asiana Airlines",39,"Korea","Japan","6am - 12pm",60,"Private Taxi"," Seoul"
"68","ICN","Korean LCC",26,"Korea","Southeast Asia","9pm - 6am",44.6521739130435,"Subway"," Incheon"
"69","ICN","Asiana Airlines",28,"Korea","Japan","12pm - 6pm",27.1222222222222,"Subway"," Seoul"
"70","ICN","Korean LCC",22,"Korea","Southeast Asia","6pm - 9pm",24,"Private Car"," Jeonra-do"
"71","ICN","Korean Air",34,"China","China","6pm - 9pm",49.8317857142857,"Public Bus"," Kyungsang-do"
"72","ICN","Asiana Airlines",40,"Korea","China","12pm - 6pm",26.4277777777778,"Private Taxi"," Chungcheong-do"
"73","ICN","Korean LCC",22,"Southeast Asia","Southeast Asia","6pm - 9pm",24,"Public Train"," Jeonra-do"
"74","ICN","Korean LCC",33,"Korea","Southeast Asia","12pm - 6pm",40,"Subway"," Kyungki-do"
"75","ICN","Korean LCC",29,"Korea","Southeast Asia","12pm - 6pm",40,"Subway"," Kyungki-do"
"76","ICN","Asiana Airlines",43,"Korea","Southeast Asia","12pm - 6pm",58.0909090909091,"Public Bus"," Seoul"
"77","ICN","Foreign Airlines",41,"Korea","China","12pm - 6pm",120,"Private Car"," Kyungsang-do"
"78","ICN","Korean Air",30,"Korea","Southeast Asia","12pm - 6pm",65,"Private Car"," Kyungsang-do"
"79","ICN","Asiana Airlines",50,"Korea","Japan","12pm - 6pm",23,"Private Car"," Jeju"
"80","ICN","Asiana Airlines",31,"Korea","China","12pm - 6pm",54,"Private Taxi"," Seoul"
"81","ICN","Korean Air",34,"Korea","China","12pm - 6pm",20,"Private Car"," Seoul"
"82","ICN","Foreign Airlines",47,"Korea","Southeast Asia","12pm - 6pm",40.9473684210526,"Private Taxi"," Seoul"
"83","ICN","Korean Air",40,"Korea","Southeast Asia","12pm - 6pm",80,"Public Train"," Kyungki-do"
"84","ICN","Korean LCC",30,"Korea","Southeast Asia","6pm - 9pm",60,"Public Bus"," Seoul"
"85","ICN","Asiana Airlines",32,"Korea","Southeast Asia","12pm - 6pm",75,"Public Train"," Chungcheong-do"
"86","ICN","Foreign Airlines",45,"Korea","Southeast Asia","12pm - 6pm",61,"Public Train"," Kangwon-do"
"87","ICN","Foreign Airlines",40,"Korea","Southeast Asia","12pm - 6pm",61,"Public Train"," Kangwon-do"
"88","ICN","Foreign Airlines",39,"Korea","Southeast Asia","12pm - 6pm",30,"Private Taxi"," Kyungsang-do"
"89","ICN","Foreign Airlines",37,"Korea","Southeast Asia","12pm - 6pm",41,"Subway"," Kyungsang-do"
"90","ICN","Asiana Airlines",44,"Korea","China","12pm - 6pm",26.4277777777778,"Private Taxi"," Seoul"
"91","ICN","Asiana Airlines",30,"Korea","Southeast Asia","12pm - 6pm",75,"Public Train"," Chungcheong-do"
"92","ICN","Foreign Airlines",49,"Korea","Southeast Asia","6pm - 9pm",999,"Subway"," Jeju"
"93","ICN","Korean Air",50,"Korea","Southeast Asia","6pm - 9pm",61.3809523809524,"Subway"," Incheon"
"94","ICN","Foreign Airlines",52,"Korea","Southeast Asia","9pm - 6am",27,"Private Taxi"," Jeju"
"95","ICN","Foreign Airlines",54,"Korea","Southeast Asia","6pm - 9pm",3,"Private Taxi"," Kyungki-do"
"96","ICN","Asiana Airlines",55,"Korea","China","6pm - 9pm",26.4277777777778,"Subway"," Seoul"
"97","ICN","Korean Air",60,"Korea","Southeast Asia","6pm - 9pm",61.3809523809524,"Private Taxi"," Kyungki-do"
"98","ICN","Korean Air",62,"Korea","Southeast Asia","6pm - 9pm",61.3809523809524,"Private Taxi"," Kyungki-do"
"99","ICN","Foreign Airlines",64,"Korea","Southeast Asia","6pm - 9pm",3,"Private Taxi"," Kyungki-do"
"100","ICN","Korean LCC",27,"Korea","Southeast Asia","12pm - 6pm",60,"Private Taxi"," Seoul"
"101","ICN","Korean LCC",25,"Korea","Southeast Asia","12pm - 6pm",53,"Private Taxi"," Seoul"
"102","ICN","Korean LCC",24,"Korea","Southeast Asia","12pm - 6pm",50,"Private Taxi"," Kyungki-do"
"103","ICN","Korean LCC",28,"Korea","Southeast Asia","12pm - 6pm",23,"Private Taxi"," Seoul"
"104","ICN","Korean LCC",29,"Korea","Southeast Asia","6pm - 9pm",30,"Subway"," Incheon"
"105","ICN","Asiana Airlines",25,"Korea","Southeast Asia","6pm - 9pm",58.0909090909091,"Private Taxi"," Seoul"
"106","ICN","Korean Air",39,"Korea","Other","6pm - 9pm",100,"Public Train"," Kyungki-do"
"107","ICN","Foreign Airlines",30,"Korea","Southeast Asia","12pm - 6pm",60,"Private Taxi"," Jeonra-do"
"108","ICN","Korean LCC",36,"Korea","Southeast Asia","6pm - 9pm",30,"Public Bus"," Incheon"
"109","ICN","Korean Air",31,"Korea","Southeast Asia","6pm - 9pm",62,"Private Taxi"," Seoul"
"110","ICN","Korean LCC",30,"Korea","Southeast Asia","6pm - 9pm",999,"Public Train"," Seoul"
"111","ICN","Korean Air",36,"Korea","Other","9pm - 6am",150,"Private Taxi"," Kyungsang-do"
"112","ICN","Asiana Airlines",31,"Korea","Japan","9pm - 6am",27.1222222222222,"Private Car"," Jeju"
"113","ICN","Asiana Airlines",37,"Korea","China","6pm - 9pm",41,"Private Taxi"," Kyungki-do"
"114","ICN","Korean Air",43,"Korea","Other","6pm - 9pm",120,"Private Taxi"," Kyungki-do"
"115","ICN","Korean LCC",45,"Korea","Southeast Asia","6pm - 9pm",35,"Public Train"," Chungcheong-do"
"116","ICN","Korean Air",42,"Korea","Southeast Asia","12pm - 6pm",50,"Private Taxi"," Seoul"
"117","ICN","Asiana Airlines",44,"Korea","Southeast Asia","6pm - 9pm",55,"Private Taxi"," Seoul"
"118","ICN","Foreign Airlines",55,"Korea","China","6pm - 9pm",37.25,"Private Taxi"," Jeju"
"119","ICN","Foreign Airlines",52,"Korea","China","6pm - 9pm",37.25,"Subway"," Incheon"
"120","ICN","Korean Air",50,"Korea","Japan","6pm - 9pm",48.3433333333333,"Private Taxi"," Jeju"
"121","ICN","Foreign Airlines",69,"Korea","Other","9pm - 6am",50,"Private Car"," Seoul"
"122","ICN","Korean Air",30,"Korea","Other","6pm - 9pm",134.571428571429,"Private Taxi"," Seoul"
"123","ICN","Asiana Airlines",30,"Korea","Southeast Asia","6pm - 9pm",58.0909090909091,"Public Bus"," Seoul"
"124","ICN","Asiana Airlines",32,"Korea","Southeast Asia","6pm - 9pm",58.0909090909091,"Public Bus"," Seoul"
"125","ICN","Foreign Airlines",47,"Korea","Southeast Asia","6pm - 9pm",999,"Subway"," Jeju"
"126","ICN","Korean Air",47,"Korea","Southeast Asia","6pm - 9pm",61.3809523809524,"Subway"," Jeju"
"127","ICN","Asiana Airlines",47,"Korea","Southeast Asia","6pm - 9pm",58.0909090909091,"Subway"," Seoul"
"128","ICN","Korean LCC",37,"Southeast Asia","Southeast Asia","9pm - 6am",65,"Private Car"," Jeju"
"129","ICN","Foreign Airlines",24,"Korea","Southeast Asia","6am - 12pm",56,"Private Taxi"," Seoul"
"130","ICN","Korean Air",33,"China","China","6pm - 9pm",49.8317857142857,"Private Car"," Seoul"
"131","ICN","Korean Air",30,"Korea","Southeast Asia","6pm - 9pm",53,"Private Taxi"," Kyungki-do"
"132","ICN","Korean LCC",30,"Korea","Southeast Asia","6pm - 9pm",40,"Private Taxi"," Kyungki-do"
"133","ICN","Korean Air",50,"Korea","Southeast Asia","6am - 12pm",61.3809523809524,"Private Car"," Kyungki-do"
"134","ICN","Korean Air",35,"Korea","Other","12pm - 6pm",222,"Private Car"," Seoul"
"135","ICN","Asiana Airlines",43,"Korea","Southeast Asia","6pm - 9pm",57,"Private Taxi"," Kyungsang-do"
"136","ICN","Asiana Airlines",27,"Other","Other","6pm - 9pm",14,"Subway"," Jeju"
"137","ICN","Korean LCC",32,"Korea","Southeast Asia","6pm - 9pm",64,"Public Train"," Kyungsang-do"
"138","ICN","Korean LCC",33,"Korea","Southeast Asia","6pm - 9pm",30,"Public Train"," Incheon"
"139","ICN","Asiana Airlines",36,"Southeast Asia","Southeast Asia","6pm - 9pm",58.0909090909091,"Private Taxi"," Kyungsang-do"
"140","ICN","Korean LCC",33,"Southeast Asia","Southeast Asia","9pm - 6am",50,"Private Taxi"," Seoul"
"141","ICN","Foreign Airlines",30,"Southeast Asia","Southeast Asia","9pm - 6am",30,"Private Car"," Seoul"
"142","ICN","Foreign Airlines",29,"Southeast Asia","Southeast Asia","9pm - 6am",30,"Private Taxi"," Incheon"
"143","ICN","Asiana Airlines",22,"Southeast Asia","Southeast Asia","9pm - 6am",50,"Public Bus"," Chungcheong-do"
"144","ICN","Korean Air",44,"Korea","Southeast Asia","6pm - 9pm",89,"Public Train"," Kyungsang-do"
"145","ICN","Korean Air",54,"Korea","China","9pm - 6am",49.8317857142857,"Public Train"," Chungcheong-do"
"146","ICN","Asiana Airlines",40,"Korea","Southeast Asia","6pm - 9pm",58.0909090909091,"Subway"," Seoul"
"147","ICN","Asiana Airlines",42,"Korea","Southeast Asia","6pm - 9pm",58.0909090909091,"Public Train"," Seoul"
"148","ICN","Foreign Airlines",44,"Other","Other","12pm - 6pm",50,"Public Train"," Jeju"
"149","ICN","Korean Air",31,"Korea","Southeast Asia","12pm - 6pm",60,"Public Train"," Seoul"
"150","ICN","Korean Air",21,"Korea","Southeast Asia","12pm - 6pm",60,"Public Train"," Seoul"
"151","ICN","Foreign Airlines",44,"Southeast Asia","Southeast Asia","6pm - 9pm",50,"Public Train"," Kyungsang-do"
"152","ICN","Korean LCC",24,"Korea","Southeast Asia","6pm - 9pm",44.6521739130435,"Public Train"," Kyungsang-do"
"153","ICN","Asiana Airlines",52,"Korea","Southeast Asia","12pm - 6pm",70,"Private Taxi"," Seoul"
"154","ICN","Korean LCC",71,"Other","Southeast Asia","6pm - 9pm",50,"Private Car"," Seoul"
"155","ICN","Asiana Airlines",54,"Korea","Japan","6pm - 9pm",50,"Private Taxi"," Jeju"
"156","ICN","Asiana Airlines",37,"Southeast Asia","Southeast Asia","6pm - 9pm",76,"Private Taxi"," Seoul"
"157","ICN","Asiana Airlines",37,"Korea","China","6pm - 9pm",30,"Public Bus"," Kyungki-do"
"158","ICN","Asiana Airlines",41,"Korea","Southeast Asia","6pm - 9pm",36,"Private Taxi"," Seoul"
"159","ICN","Korean LCC",27,"Korea","Southeast Asia","6pm - 9pm",40,"Private Taxi"," Seoul"
"160","ICN","Korean LCC",28,"Korea","Southeast Asia","6pm - 9pm",31,"Public Bus"," Seoul"
"161","ICN","Korean LCC",29,"Southeast Asia","Southeast Asia","6pm - 9pm",31,"Private Taxi"," Seoul"
"162","ICN","Korean Air",56,"Japan","Japan","12pm - 6pm",260,"Private Car"," Jeju"
"163","ICN","Asiana Airlines",59,"Korea","Southeast Asia","6pm - 9pm",50,"Private Taxi"," Seoul"
"164","ICN","Korean Air",30,"Korea","Southeast Asia","12pm - 6pm",50,"Private Taxi"," Seoul"
"165","ICN","Korean Air",28,"Southeast Asia","Southeast Asia","6pm - 9pm",45,"Public Train"," Kyungsang-do"
"166","ICN","Korean Air",21,"Korea","China","6pm - 9pm",45,"Private Taxi"," Jeju"
"167","ICN","Korean LCC",29,"Korea","Southeast Asia","6pm - 9pm",56,"Private Taxi"," Seoul"
"168","ICN","Korean Air",26,"Korea","China","12pm - 6pm",28,"Private Car"," Seoul"
"169","ICN","Korean Air",25,"Korea","Southeast Asia","12pm - 6pm",61.3809523809524,"Private Taxi"," Seoul"
"170","ICN","Foreign Airlines",37,"Korea","Southeast Asia","6pm - 9pm",53,"Subway"," Seoul"
"171","ICN","Korean LCC",33,"Korea","Southeast Asia","6pm - 9pm",56,"Public Bus"," Kyungki-do"
"172","ICN","Korean LCC",34,"Korea","Southeast Asia","9pm - 6am",53,"Public Bus"," Kyungki-do"
"173","ICN","Korean LCC",35,"Korea","Southeast Asia","9pm - 6am",58,"Private Car"," Seoul"
"174","ICN","Asiana Airlines",45,"Korea","Southeast Asia","9pm - 6am",75,"Private Taxi"," Seoul"
"175","ICN","Foreign Airlines",41,"Korea","Southeast Asia","6pm - 9pm",53,"Subway"," Seoul"
"176","ICN","Korean Air",47,"Korea","Southeast Asia","12pm - 6pm",69,"Private Taxi"," Seoul"
"177","ICN","Korean Air",55,"Korea","China","12pm - 6pm",28,"Public Bus"," Kyungki-do"
"178","ICN","Korean Air",59,"Korea","Southeast Asia","6pm - 9pm",61.3809523809524,"Private Taxi"," Seoul"
"179","ICN","Korean Air",54,"Korea","Southeast Asia","6pm - 9pm",82,"Private Taxi"," Seoul"
"180","ICN","Korean LCC",63,"Korea","Southeast Asia","9pm - 6am",58,"Private Car"," Seoul"
"181","ICN","Korean LCC",80,"Korea","Southeast Asia","6pm - 9pm",50,"Private Car"," Seoul"
"182","ICN","Asiana Airlines",35,"Korea","Southeast Asia","12pm - 6pm",30,"Subway"," Seoul"
"183","ICN","Korean Air",50,"Korea","Southeast Asia","6pm - 9pm",50,"Subway"," Seoul"
"184","ICN","Asiana Airlines",62,"Korea","China","6pm - 9pm",26.4277777777778,"Private Car"," Incheon"
"185","ICN","Asiana Airlines",19,"Korea","China","6pm - 9pm",78,"Private Car"," Incheon"
"186","ICN","Korean Air",43,"Southeast Asia","Southeast Asia","12pm - 6pm",70,"Private Taxi"," Kyungki-do"
"187","ICN","Foreign Airlines",30,"Korea","China","6pm - 9pm",50,"Subway"," Seoul"
"188","ICN","Asiana Airlines",55,"Korea","China","6pm - 9pm",66,"Public Train"," Kyungsang-do"
"189","ICN","Korean Air",35,"Korea","Southeast Asia","6pm - 9pm",45,"Public Train"," Kyungsang-do"
"190","ICN","Foreign Airlines",30,"Korea","China","6pm - 9pm",50,"Subway"," Jeju"
"191","ICN","Korean LCC",27,"Korea","Southeast Asia","6pm - 9pm",40,"Subway"," Seoul"
"192","ICN","Foreign Airlines",42,"Korea","Japan","12pm - 6pm",20,"Private Car"," Seoul"
"193","ICN","Korean Air",67,"Korea","Southeast Asia","12pm - 6pm",61.3809523809524,"Public Train"," Kyungsang-do"
"194","ICN","Asiana Airlines",45,"Korea","China","12pm - 6pm",45,"Private Car"," Kyungsang-do"
"195","ICN","Foreign Airlines",27,"Korea","Southeast Asia","12pm - 6pm",50,"Private Taxi"," Jeju"
"196","ICN","Korean Air",35,"Other","Southeast Asia","6pm - 9pm",50,"Private Taxi"," Seoul"
"197","ICN","Foreign Airlines",21,"Southeast Asia","Southeast Asia","9pm - 6am",27,"Public Bus"," Seoul"
"198","ICN","Korean Air",23,"Southeast Asia","Southeast Asia","6pm - 9pm",56,"Private Taxi"," Seoul"
"199","ICN","Korean LCC",29,"Korea","Southeast Asia","6am - 12pm",40,"Private Taxi"," Seoul"
"200","ICN","Foreign Airlines",43,"Korea","China","6pm - 9pm",35,"Public Bus"," Kyungki-do"
"201","ICN","Foreign Airlines",52,"Korea","Southeast Asia","6am - 12pm",999,"Private Taxi"," Kyungki-do"
"202","ICN","Korean LCC",43,"Korea","Japan","12pm - 6pm",11,"Private Car"," Kyungki-do"
"203","ICN","Korean Air",51,"Korea","Southeast Asia","12pm - 6pm",61.3809523809524,"Private Car"," Kyungki-do"
"204","ICN","Korean Air",22,"Korea","China","12pm - 6pm",57,"Subway"," Seoul"
"205","ICN","Foreign Airlines",30,"Korea","Southeast Asia","6am - 12pm",40.9473684210526,"Subway"," Kyungki-do"
"206","ICN","Asiana Airlines",23,"Korea","Japan","9pm - 6am",52,"Subway"," Seoul"
"207","ICN","Korean Air",30,"Korea","Japan","9pm - 6am",48.3433333333333,"Subway"," Kyungki-do"
"208","ICN","Asiana Airlines",37,"Korea","Southeast Asia","6pm - 9pm",100,"Subway"," Kyungki-do"
"209","ICN","Korean Air",33,"Korea","Southeast Asia","6pm - 9pm",61.3809523809524,"Private Taxi"," Kyungki-do"
"210","ICN","Asiana Airlines",29,"China","China","6pm - 9pm",52,"Private Car"," Kyungki-do"
"211","ICN","Korean Air",50,"Korea","Southeast Asia","6pm - 9pm",50,"Private Car"," Kyungki-do"
"212","ICN","Asiana Airlines",25,"Korea","Japan","9pm - 6am",30,"Public Bus"," Kyungki-do"
"213","ICN","Foreign Airlines",23,"Korea","China","6pm - 9pm",37.25,"Subway"," Seoul"
"214","ICN","Korean Air",20,"Korea","Japan","6pm - 9pm",36,"Public Bus"," Kyungki-do"
"215","ICN","Asiana Airlines",27,"Korea","Southeast Asia","6pm - 9pm",58.0909090909091,"Subway"," Seoul"
"216","ICN","Asiana Airlines",22,"Korea","China","6pm - 9pm",40,"Public Bus"," Jeonra-do"
"217","ICN","Asiana Airlines",62,"Korea","China","6pm - 9pm",26.4277777777778,"Private Taxi"," Kyungki-do"
"218","ICN","Foreign Airlines",53,"Korea","Southeast Asia","9pm - 6am",50,"Private Car"," Kyungki-do"
"219","ICN","Korean Air",41,"Korea","Southeast Asia","6pm - 9pm",61.3809523809524,"Subway"," Kyungki-do"
"220","ICN","Foreign Airlines",52,"Korea","Southeast Asia","9pm - 6am",50,"Private Car"," Seoul"
"221","ICN","Asiana Airlines",60,"Korea","China","6pm - 9pm",26.4277777777778,"Subway"," Kyungki-do"
"222","ICN","Foreign Airlines",41,"Korea","Southeast Asia","6pm - 9pm",20,"Private Taxi"," Kyungki-do"
"223","ICN","Foreign Airlines",45,"Korea","China","6pm - 9pm",34,"Private Taxi"," Incheon"
"224","ICN","Asiana Airlines",37,"Korea","Southeast Asia","9pm - 6am",40,"Private Car"," Seoul"
"225","ICN","Asiana Airlines",22,"Korea","China","6pm - 9pm",26.4277777777778,"Subway"," Seoul"
"226","ICN","Asiana Airlines",25,"Korea","Japan","9pm - 6am",27.1222222222222,"Subway"," Seoul"
"227","ICN","Korean Air",27,"Korea","Other","6pm - 9pm",134.571428571429,"Private Taxi"," Seoul"
"228","ICN","Asiana Airlines",33,"Korea","Southeast Asia","6pm - 9pm",58.0909090909091,"Private Taxi"," Seoul"
